DATE,TOC_mg_L,Alk_mg_L
4/1/2022,2.64,74
4/2/2022,2.65,80
4/3/2022,2.62,74.5
4/4/2022,2.7,74
4/5/2022,2.72,72.5
4/6/2022,2.61,74
4/7/2022,2.73,75.5
4/8/2022,2.64,76
4/9/2022,2.61,75.5
4/10/2022,2.69,74
4/11/2022,2.71,74.5
4/12/2022,2.74,77
4/13/2022,2.75,76
4/14/2022,2.75,77
4/15/2022,2.76,77
4/16/2022,2.8,78.5
4/17/2022,2.82,78
4/18/2022,2.85,79.5
4/19/2022,2.84,77
4/20/2022,2.83,77.5
4/21/2022,2.88,78.5
4/22/2022,2.95,80
4/23/2022,2.96,81.5
4/24/2022,2.94,80.5
4/25/2022,3.03,82
4/26/2022,2.96,83.5
4/27/2022,2.92,80
4/28/2022,3.02,78.5
4/29/2022,2.78,75
4/30/2022,2.78,73
5/1/2022,2.6,71.5
5/2/2022,2.53,68
5/3/2022,2.5,65
5/4/2022,2.49,65
5/5/2022,2.42,66
5/6/2022,2.44,71
5/7/2022,2.36,61
5/8/2022,2.1,60.5
5/9/2022,2.44,58
5/10/2022,2.57,54
5/11/2022,2.59,52
5/12/2022,2.6,50
5/13/2022,2.69,49
5/14/2022,2.68,46
5/15/2022,2.69,47.5
5/16/2022,2.65,50.5
5/17/2022,2.6,48.5
5/18/2022,2.53,51
5/19/2022,2.56,49
5/20/2022,2.52,49.7
5/21/2022,2.32,50.5
5/22/2022,2.45,49.5
5/23/2022,2.42,48.5
5/24/2022,2.37,48
5/25/2022,2.31,49.1
5/26/2022,2.3,48.8
5/27/2022,2.3,48.5
5/28/2022,2.3,49.5
5/29/2022,2.62,49.5
5/30/2022,2.94,48.5
5/31/2022,3.07,47.5
6/1/2022,3.08,47
6/2/2022,2.98,46
6/3/2022,2.97,47
6/4/2022,2.94,42
6/5/2022,3.27,40.5
6/6/2022,3.36,39.5
6/7/2022,3.39,39
6/8/2022,3.33,38.5
6/9/2022,3.23,33.1
6/10/2022,3.14,35.5
6/11/2022,3.08,34
6/12/2022,2.92,33.5
6/13/2022,2.86,34
6/14/2022,2.71,33.5
6/15/2022,2.6,34
6/16/2022,2.52,33.5
6/17/2022,2.5,33.5
6/18/2022,2.45,35
6/19/2022,2.36,34
6/20/2022,2.37,37
6/21/2022,2.25,34
6/22/2022,2.23,37
6/23/2022,2.16,37.5
6/24/2022,2.1,39
6/25/2022,2.1,38
6/26/2022,2.04,37.5
6/27/2022,2.02,38
6/28/2022,2.03,33.5
6/29/2022,2.04,37
6/30/2022,2.08,39.5
7/1/2022,2.13,39
7/2/2022,2.06,40
7/3/2022,2.07,40.5
7/4/2022,2.09,39.5
7/5/2022,2.18,39
7/6/2022,2.08,40.3
7/7/2022,2.1,39.5
7/8/2022,2.1,40.5
7/9/2022,2.19,42.5
7/10/2022,2.1,41.5
7/11/2022,2.1,44.5
7/12/2022,2,45
7/13/2022,2.1,42.5
7/14/2022,2,45
7/15/2022,2,44.5
7/16/2022,2,45.5
7/17/2022,2.1,48
7/18/2022,2.1,45
7/19/2022,2.15,45.5
7/20/2022,2.1,49
7/21/2022,2,50
7/22/2022,2,50.5
7/23/2022,2.03,50
7/24/2022,2.05,49.5
7/25/2022,2.01,48.5
7/26/2022,2.06,48.5
7/27/2022,2.05,48.5
7/28/2022,2.13,48
7/29/2022,2.21,50
7/30/2022,2.32,51.5
7/31/2022,2.28,52
8/1/2022,2.22,53
8/2/2022,2.2,50.5
8/3/2022,2.16,48.8
8/4/2022,2.1,50.2
8/5/2022,2.15,50.5
8/6/2022,1.9,48
8/7/2022,2.06,49.5
8/8/2022,2.19,47
8/9/2022,2.24,49.5
8/10/2022,2.41,54.5
8/11/2022,2.56,58.5
8/12/2022,2.59,58.5
