measDate,Flow_CFS
4/1/2022,192
4/2/2022,232
4/3/2022,237
4/4/2022,237
4/5/2022,235
4/6/2022,231
4/7/2022,230
4/8/2022,269
4/9/2022,276
4/10/2022,278
4/11/2022,274
4/12/2022,270
4/13/2022,267
4/14/2022,256
4/15/2022,263
4/16/2022,262
4/17/2022,260
4/18/2022,276
4/19/2022,333
4/20/2022,396
4/21/2022,404
4/22/2022,392
4/23/2022,405
4/24/2022,413
4/25/2022,412
4/26/2022,412
4/27/2022,424
4/28/2022,482
4/29/2022,485
4/30/2022,523
5/1/2022,530
5/2/2022,544
5/3/2022,533
5/4/2022,460
5/5/2022,417
5/6/2022,419
5/7/2022,448
5/8/2022,488
5/9/2022,493
5/10/2022,545
5/11/2022,561
5/12/2022,579
5/13/2022,545
5/14/2022,584
5/15/2022,606
5/16/2022,620
5/17/2022,550
5/18/2022,552
5/19/2022,565
5/20/2022,544
5/21/2022,441
5/22/2022,330
5/23/2022,441
5/24/2022,579
5/25/2022,557
5/26/2022,443
5/27/2022,585
5/28/2022,616
5/29/2022,554
5/30/2022,421
5/31/2022,407
6/1/2022,441
6/2/2022,508
6/3/2022,530
6/4/2022,502
6/5/2022,506
6/6/2022,526
6/7/2022,599
6/8/2022,588
6/9/2022,596
6/10/2022,586
6/11/2022,587
6/12/2022,585
6/13/2022,559
6/14/2022,545
6/15/2022,546
6/16/2022,614
6/17/2022,666
6/18/2022,729
6/19/2022,736
6/20/2022,715
6/21/2022,651
6/22/2022,636
6/23/2022,619
6/24/2022,610
6/25/2022,621
6/26/2022,669
6/27/2022,674
6/28/2022,635
6/29/2022,694
6/30/2022,706
7/1/2022,721
7/2/2022,707
7/3/2022,702
7/4/2022,695
7/5/2022,679
7/6/2022,780
7/7/2022,850
7/8/2022,812
7/9/2022,806
7/10/2022,807
7/11/2022,822
7/12/2022,763
7/13/2022,754
7/14/2022,745
7/15/2022,606
7/16/2022,745
7/17/2022,789
7/18/2022,778
7/19/2022,772
7/20/2022,775
7/21/2022,766
7/22/2022,760
7/23/2022,763
7/24/2022,796
7/25/2022,813
7/26/2022,642
7/27/2022,596
7/28/2022,590
7/29/2022,569
7/30/2022,590
7/31/2022,666
8/1/2022,702
8/2/2022,711
8/3/2022,699
8/4/2022,705
8/5/2022,701
8/6/2022,715
8/7/2022,705
8/8/2022,656
8/9/2022,564
8/10/2022,591
8/11/2022,696
8/12/2022,770
8/13/2022,731
8/14/2022,628
8/15/2022,569
8/16/2022,631
8/17/2022,599
8/18/2022,509
8/19/2022,486
8/20/2022,533
8/21/2022,624
8/22/2022,675
8/23/2022,647
8/24/2022,686
8/25/2022,757
8/26/2022,835
8/27/2022,951
8/28/2022,928
8/29/2022,960
8/30/2022,929
8/31/2022,915
9/1/2022,922
9/2/2022,970
9/3/2022,965
9/4/2022,970
9/5/2022,957
9/6/2022,937
9/7/2022,841
9/8/2022,801
9/9/2022,712
9/10/2022,640
9/11/2022,566
9/12/2022,555
9/13/2022,550
9/14/2022,564
9/15/2022,612
9/16/2022,558
9/17/2022,519
9/18/2022,514
9/19/2022,506
9/20/2022,503
9/21/2022,509
9/22/2022,539
9/23/2022,477
9/24/2022,462
9/25/2022,454
9/26/2022,454
9/27/2022,497
9/28/2022,508
9/29/2022,521
9/30/2022,536
10/1/2022,533
10/2/2022,437
10/3/2022,440
10/4/2022,390
10/5/2022,408
10/6/2022,404
10/7/2022,412
10/8/2022,434
10/9/2022,432
10/10/2022,430
10/11/2022,444
10/12/2022,495
10/13/2022,494
10/14/2022,495
10/15/2022,492
10/16/2022,492
10/17/2022,481
10/18/2022,431
10/19/2022,391
10/20/2022,388
10/21/2022,384
10/22/2022,383
10/23/2022,378
10/24/2022,362
10/25/2022,275
10/26/2022,365
10/27/2022,402
10/28/2022,334
10/29/2022,336
10/30/2022,338
10/31/2022,331
11/1/2022,292
11/2/2022,291
11/3/2022,288
11/4/2022,285
11/5/2022,283
11/6/2022,292
11/7/2022,286
11/8/2022,289
11/9/2022,284
11/10/2022,284
11/11/2022,267
11/12/2022,259
11/13/2022,268
11/14/2022,271
11/15/2022,265
11/16/2022,280
11/17/2022,287
11/18/2022,291
11/19/2022,291
11/20/2022,293
11/21/2022,294
11/22/2022,311
11/23/2022,313
11/24/2022,315
11/25/2022,310
11/26/2022,311
11/27/2022,313
11/28/2022,308
11/29/2022,272
11/30/2022,271
12/1/2022,286
12/2/2022,268
12/3/2022,266
12/4/2022,269
12/5/2022,269
12/6/2022,268
12/7/2022,266
12/8/2022,265
12/9/2022,259
12/10/2022,258
12/11/2022,262
12/12/2022,264
12/13/2022,259
12/14/2022,222
12/15/2022,222
12/16/2022,241
12/17/2022,245
12/18/2022,235
12/19/2022,215
12/20/2022,185
12/21/2022,160
12/22/2022,149
12/23/2022,175
12/24/2022,200
12/25/2022,200
12/26/2022,200
12/27/2022,200
12/28/2022,200
12/29/2022,200
12/30/2022,200
12/31/2022,200
1/1/2023,200
1/2/2023,200
1/3/2023,200
1/4/2023,200
1/5/2023,200
1/6/2023,200
