STATION,DATE,PRCP,SNOW,TMAX,TMIN
USC00058022,4/1/2022,0,0,60,26
USC00058022,4/2/2022,0,0,58,24
USC00058022,4/3/2022,0,0,64,24
USC00058022,4/4/2022,0,0,54,30
USC00058022,4/5/2022,0,0,67,36
USC00058022,4/6/2022,0,0,62,19
USC00058022,4/7/2022,0,0,45,16
USC00058022,4/8/2022,0,0,50,16
USC00058022,4/9/2022,0,0,65,27
USC00058022,4/10/2022,0.05,0,74,36
USC00058022,4/11/2022,0,0,57,26
USC00058022,4/12/2022,0,0,67,26
USC00058022,4/13/2022,0,0,58,16
USC00058022,4/14/2022,0,0,39,16
USC00058022,4/15/2022,0,0,57,29
USC00058022,4/16/2022,0,0,68,24
USC00058022,4/17/2022,0,0,55,24
USC00058022,4/18/2022,0,0,67,24
USC00058022,4/19/2022,0,0,59,24
USC00058022,4/20/2022,0,0,79,34
USC00058022,4/21/2022,0,0,70,33
USC00058022,4/22/2022,0,0,81,38
USC00058022,4/23/2022,0,0,83,40
USC00058022,4/24/2022,0,0,60,25
USC00058022,4/25/2022,0.1,0,50,25
USC00058022,4/26/2022,0,0,52,28
USC00058022,4/27/2022,0,0,73,30
USC00058022,4/28/2022,0,0,71,39
USC00058022,4/29/2022,0,0,72,31
USC00058022,4/30/2022,0,0,64,26
USC00058022,5/1/2022,0,0,64,27
USC00058022,5/2/2022,0.24,0,61,28
USC00058022,5/3/2022,0.04,0,39,28
USC00058022,5/4/2022,0.11,0,57,33
USC00058022,5/5/2022,0.16,0,46,32
USC00058022,5/6/2022,0,0,68,35
USC00058022,5/7/2022,0,0,81,39
USC00058022,5/8/2022,0,0,86,38
USC00058022,5/9/2022,0,0,76,36
USC00058022,5/10/2022,0,0,71,32
USC00058022,5/11/2022,0,0,68,33
USC00058022,5/12/2022,0,0,85,38
USC00058022,5/13/2022,0,0,71,34
USC00058022,5/14/2022,0,0,75,34
USC00058022,5/15/2022,0,0,79,37
USC00058022,5/16/2022,0,0,77,40
USC00058022,5/17/2022,0,0,84,46
USC00058022,5/18/2022,0,0,84,44
USC00058022,5/19/2022,0,0,79,41
USC00058022,5/20/2022,0.03,0.3,87,35
USC00058022,5/21/2022,1.07,8,39,29
USC00058022,5/22/2022,0.04,1,42,29
USC00058022,5/23/2022,0,0,56,32
USC00058022,5/24/2022,0.15,0,57,38
USC00058022,5/25/2022,0.04,0,54,32
USC00058022,5/26/2022,0,0,66,34
USC00058022,5/27/2022,0,0,80,42
USC00058022,5/28/2022,0,0,87,47
USC00058022,5/29/2022,0,0,84,39
USC00058022,5/30/2022,0.04,0,78,36
USC00058022,5/31/2022,0,0,78,35
USC00058022,6/1/2022,0.63,0,59,34
USC00058022,6/2/2022,0.03,0,55,37
USC00058022,6/3/2022,0,0,69,43
USC00058022,6/4/2022,0.04,0,70,44
USC00058022,6/5/2022,0,0,81,48
USC00058022,6/6/2022,0,0,80,47
USC00058022,6/7/2022,0.11,0,74,44
USC00058022,6/8/2022,0,0,77,49
USC00058022,6/9/2022,0,0,78,50
USC00058022,6/10/2022,0,0,85,50
USC00058022,6/11/2022,0,0,88,54
USC00058022,6/12/2022,0,0,92,53
USC00058022,6/13/2022,0,0,91,51
USC00058022,6/14/2022,0,0,93,46
USC00058022,6/15/2022,0,0,85,41
USC00058022,6/16/2022,0,0,85,43
USC00058022,6/17/2022,0,0,88,52
USC00058022,6/18/2022,0,0,92,59
USC00058022,6/19/2022,0,0,92,59
USC00058022,6/20/2022,0,0,83,53
USC00058022,6/21/2022,0,0,86,44
USC00058022,6/22/2022,0,0,76,43
USC00058022,6/23/2022,0,0,80,52
USC00058022,6/24/2022,0,0,88,53
USC00058022,6/25/2022,0.02,0,85,50
USC00058022,6/26/2022,0.04,0,63,52
USC00058022,6/27/2022,0,0,65,48
USC00058022,6/28/2022,0,0,83,53
USC00058022,6/29/2022,0,0,89,56
USC00058022,6/30/2022,0.02,0,88,56
USC00058022,7/1/2022,0.3,0,76,49
USC00058022,7/2/2022,0,0,80,49
USC00058022,7/3/2022,0.63,0,84,54
USC00058022,7/4/2022,0.03,0,86,56
USC00058022,7/5/2022,0.04,0,88,55
USC00058022,7/6/2022,0.12,0,87,57
USC00058022,7/7/2022,0.16,0,80,54
USC00058022,7/8/2022,0.02,0,85,52
USC00058022,7/9/2022,0,0,90,60
USC00058022,7/10/2022,0,0,96,59
USC00058022,7/11/2022,0,0,93,60
USC00058022,7/12/2022,0,0,74,51
USC00058022,7/13/2022,0,0,87,51
USC00058022,7/14/2022,0.18,0,92,54
USC00058022,7/15/2022,0,0,89,57
USC00058022,7/16/2022,0.06,0,91,58
USC00058022,7/17/2022,0,0,88,57
USC00058022,7/18/2022,0,0,94,60
USC00058022,7/19/2022,0,0,94,66
USC00058022,7/20/2022,0.06,0,92,61
USC00058022,7/21/2022,0.05,0,85,58
USC00058022,7/22/2022,0,0,90,54
USC00058022,7/23/2022,0,0,91,60
USC00058022,7/24/2022,0.04,0,92,59
USC00058022,7/25/2022,0.18,0,78,54
USC00058022,7/26/2022,0,0,84,58
USC00058022,7/27/2022,0.27,0,83,58
USC00058022,7/28/2022,0.14,0,84,57
USC00058022,7/29/2022,0,0,75,53
USC00058022,7/30/2022,0,0,80,56
USC00058022,7/31/2022,0,0,88,56
USC00058022,8/1/2022,0,0,88,59
USC00058022,8/2/2022,0,0,89,61
USC00058022,8/3/2022,0,0,90,58
USC00058022,8/4/2022,0.04,0,85,56
USC00058022,8/5/2022,0,0,93,61
USC00058022,8/6/2022,0,0,94,56
USC00058022,8/7/2022,0.12,0,90,56
USC00058022,8/8/2022,0.11,0,83,58
USC00058022,8/9/2022,0,0,86,58
USC00058022,8/10/2022,0,0,91,61
USC00058022,8/11/2022,0,0,90,63
USC00058022,8/12/2022,0,0,93,56
USC00058022,8/13/2022,0,0,90,57
USC00058022,8/14/2022,0.04,0,91,57
USC00058022,8/15/2022,0.04,0,90,56
USC00058022,8/16/2022,0.86,0,83,57
USC00058022,8/17/2022,0.43,0,66,53
USC00058022,8/18/2022,0,0,79,52
USC00058022,8/19/2022,0,0,83,53
USC00058022,8/20/2022,0,0,77,53
USC00058022,8/21/2022,0.02,0,79,55
USC00058022,8/22/2022,0.16,0,79,54
USC00058022,8/23/2022,0.13,0,79,54
USC00058022,8/24/2022,0,0,82,55
USC00058022,8/25/2022,0,0,83,53
USC00058022,8/26/2022,0,0,83,56
USC00058022,8/27/2022,0,0,80,55
USC00058022,8/28/2022,0,0,84,50
USC00058022,8/29/2022,0.09,0,82,48
USC00058022,8/30/2022,0,0,83,51
USC00058022,8/31/2022,0,0,87,59
USC00058022,9/1/2022,0,0,87,55
USC00058022,9/2/2022,0,0,87,54
USC00058022,9/3/2022,0,0,88,56
USC00058022,9/4/2022,0,0,87,57
USC00058022,9/5/2022,0,0,90,58
USC00058022,9/6/2022,0,0,91,59
USC00058022,9/7/2022,0,0,93,58
USC00058022,9/8/2022,0,0,94,58
USC00058022,9/9/2022,0,0,94,48
USC00058022,9/10/2022,0.08,0,63,48
USC00058022,9/11/2022,0.04,0,62,39
USC00058022,9/12/2022,0,0,75,43
USC00058022,9/13/2022,0,0,84,46
USC00058022,9/14/2022,0,0,86,46
USC00058022,9/15/2022,0.14,0,78,46
USC00058022,9/16/2022,0,0,74,45
USC00058022,9/17/2022,0,0,80,46
USC00058022,9/18/2022,0,0,84,40
USC00058022,9/19/2022,0,0,81,40
USC00058022,9/20/2022,0,0,88,51
USC00058022,9/21/2022,0,0,89,51
