target,model,label,n_features,features,rows,r2,rmse,mape,excursion_recall,excursion_precision,cv_mean_r2,cv_std_r2
Alk,linear,baseline_linear,1,Specific_Cond_Mean,836,0.505488,6.496663,0.086614,0.453947,0.793103,,
Alk,rf_grid,jake_full,8,Specific_Cond_Mean pH_Median month_sin month_cos flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.611517,5.758212,0.078367,0.842105,0.630542,-1.030163,2.321462
Alk,rf_grid,drop:Specific_Cond_Mean,7,pH_Median month_sin month_cos flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.259446,7.950235,0.109961,0.868421,0.461538,-2.406932,3.888493
Alk,rf_grid,drop:pH_Median,7,Specific_Cond_Mean month_sin month_cos flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.429250,6.979505,0.094195,0.967105,0.515789,-2.275387,3.446039
Alk,rf_grid,drop:month_sin,7,Specific_Cond_Mean pH_Median month_cos flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.651364,5.454916,0.076966,0.822368,0.664894,-0.538028,1.512028
Alk,rf_grid,drop:month_cos,7,Specific_Cond_Mean pH_Median month_sin flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.633484,5.593039,0.079307,0.855263,0.646766,-0.351831,0.998099
Alk,rf_grid,drop:flow_7day_avg,7,Specific_Cond_Mean pH_Median month_sin month_cos turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.629766,5.621341,0.078391,0.842105,0.640000,-0.446126,1.142723
Alk,rf_grid,drop:turb_3day,7,Specific_Cond_Mean pH_Median month_sin month_cos flow_7day_avg turb_flow Dissolved_Oxygen_Mean,836,0.636563,5.569504,0.077450,0.855263,0.619048,-0.511775,1.366213
Alk,rf_grid,drop:turb_flow,7,Specific_Cond_Mean pH_Median month_sin month_cos flow_7day_avg turb_3day Dissolved_Oxygen_Mean,836,0.642452,5.524193,0.076848,0.848684,0.632353,-0.557913,1.507008
Alk,rf_grid,drop:Dissolved_Oxygen_Mean,7,Specific_Cond_Mean pH_Median month_sin month_cos flow_7day_avg turb_3day turb_flow,836,0.636666,5.568712,0.077316,0.835526,0.641414,-0.646645,1.750347
Alk,rf_grid,top2_catboost,2,Specific_Cond_Mean pH_Median,836,0.357249,7.406674,0.101329,0.723684,0.679012,-0.078836,0.802484
Alk,rf_grid,cond_plus_season,3,Specific_Cond_Mean month_sin month_cos,836,0.310027,7.673930,0.102521,0.934211,0.533835,-1.243961,1.648631
Alk,rf_grid,no_season,6,Specific_Cond_Mean pH_Median flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.536017,6.292930,0.086335,0.763158,0.686391,-0.103199,0.611090
Alk,rf_grid,chemistry_only,3,Specific_Cond_Mean pH_Median Dissolved_Oxygen_Mean,836,0.548504,6.207672,0.089996,0.809211,0.602941,0.107145,0.388617
Alk,catboost,jake_full,8,Specific_Cond_Mean pH_Median month_sin month_cos flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.682843,5.202819,0.071995,0.585526,0.864078,,
Alk,catboost,drop:Specific_Cond_Mean,7,pH_Median month_sin month_cos flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.459343,6.793016,0.092208,0.940789,0.507092,,
Alk,catboost,drop:pH_Median,7,Specific_Cond_Mean month_sin month_cos flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.408888,7.102912,0.088214,0.855263,0.520000,,
Alk,catboost,drop:month_sin,7,Specific_Cond_Mean pH_Median month_cos flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.582377,5.970268,0.080519,0.572368,0.861386,,
Alk,catboost,drop:month_cos,7,Specific_Cond_Mean pH_Median month_sin flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.667231,5.329337,0.073288,0.638158,0.801653,,
Alk,catboost,drop:flow_7day_avg,7,Specific_Cond_Mean pH_Median month_sin month_cos turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.621464,5.684014,0.080402,0.638158,0.757812,,
Alk,catboost,drop:turb_3day,7,Specific_Cond_Mean pH_Median month_sin month_cos flow_7day_avg turb_flow Dissolved_Oxygen_Mean,836,0.710893,4.967424,0.067182,0.671053,0.842975,,
Alk,catboost,drop:turb_flow,7,Specific_Cond_Mean pH_Median month_sin month_cos flow_7day_avg turb_3day Dissolved_Oxygen_Mean,836,0.705523,5.013342,0.068580,0.651316,0.744361,,
Alk,catboost,drop:Dissolved_Oxygen_Mean,7,Specific_Cond_Mean pH_Median month_sin month_cos flow_7day_avg turb_3day turb_flow,836,0.680015,5.225966,0.071824,0.638158,0.836207,,
Alk,catboost,top2_catboost,2,Specific_Cond_Mean pH_Median,836,0.054056,8.985336,0.124590,0.585526,0.741667,,
Alk,catboost,cond_plus_season,3,Specific_Cond_Mean month_sin month_cos,836,0.126201,8.635896,0.111864,0.789474,0.535714,,
Alk,catboost,no_season,6,Specific_Cond_Mean pH_Median flow_7day_avg turb_3day turb_flow Dissolved_Oxygen_Mean,836,0.386366,7.236962,0.102685,0.519737,0.877778,,
Alk,catboost,chemistry_only,3,Specific_Cond_Mean pH_Median Dissolved_Oxygen_Mean,836,0.045433,9.026198,0.126937,0.447368,0.860759,,
