target,model,label,n_features,features,rows,r2,rmse,mape,excursion_recall,excursion_precision,cv_mean_r2,cv_std_r2
TOC,linear,baseline_linear,1,turb_flow,856,0.061621,0.624190,0.137398,0.735294,0.595238,,
TOC,rf_grid,jake_full,10,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.659376,0.376067,0.107272,0.794118,0.675000,-0.662388,0.656901
TOC,rf_grid,drop:Specific_Cond_Mean,9,month_cos month_sin turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.696649,0.354895,0.104696,0.823529,0.682927,-0.923147,0.958058
TOC,rf_grid,drop:month_cos,9,Specific_Cond_Mean month_sin turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.663254,0.373920,0.105763,0.794118,0.627907,-0.729329,0.657767
TOC,rf_grid,drop:month_sin,9,Specific_Cond_Mean month_cos turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.657686,0.376999,0.107784,0.794118,0.658537,-0.701336,0.715471
TOC,rf_grid,drop:turb_flow,9,Specific_Cond_Mean month_cos month_sin turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.626694,0.393695,0.128397,0.823529,0.538462,-1.255930,0.727267
TOC,rf_grid,drop:turb_3day,9,Specific_Cond_Mean month_cos month_sin turb_flow precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.661807,0.374722,0.106201,0.794118,0.658537,-0.680252,0.542182
TOC,rf_grid,drop:precip_7day,9,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.251928,0.557313,0.118123,0.764706,0.650000,-0.646232,0.717872
TOC,rf_grid,drop:swe_7day,9,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day precip_7day turb/cond Turbidity_Median Turbidity_Max,856,0.684468,0.361950,0.110548,0.823529,0.583333,-0.507402,0.445821
TOC,rf_grid,drop:turb/cond,9,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day precip_7day swe_7day Turbidity_Median Turbidity_Max,856,0.669810,0.370262,0.107669,0.764706,0.650000,-0.689858,0.641104
TOC,rf_grid,drop:Turbidity_Median,9,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Max,856,0.650758,0.380795,0.107567,0.794118,0.692308,-0.654509,0.673403
TOC,rf_grid,drop:Turbidity_Max,9,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median,856,0.651997,0.380118,0.107587,0.794118,0.675000,-0.640965,0.672341
TOC,rf_grid,top3_catboost,3,turb_flow Specific_Cond_Mean swe_7day,856,0.104028,0.609922,0.145827,0.764706,0.634146,-0.870430,0.686694
TOC,rf_grid,loading_plus_season,3,turb_flow month_sin month_cos,856,0.373480,0.510029,0.185191,0.823529,0.194444,-1.188943,1.431359
TOC,rf_grid,no_season,8,Specific_Cond_Mean turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.623563,0.395343,0.114046,0.794118,0.642857,-0.747395,0.620758
TOC,rf_grid,no_turbidity_family,5,Specific_Cond_Mean month_cos month_sin precip_7day swe_7day,856,0.507561,0.452172,0.152424,0.852941,0.467742,-1.748012,1.206851
TOC,catboost,jake_full,10,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.743679,0.326227,0.107880,0.794118,0.675000,,
TOC,catboost,drop:Specific_Cond_Mean,9,month_cos month_sin turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.663100,0.374006,0.121420,0.823529,0.636364,,
TOC,catboost,drop:month_cos,9,Specific_Cond_Mean month_sin turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.763374,0.313443,0.107829,0.823529,0.682927,,
TOC,catboost,drop:month_sin,9,Specific_Cond_Mean month_cos turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.743601,0.326276,0.110877,0.794118,0.675000,,
TOC,catboost,drop:turb_flow,9,Specific_Cond_Mean month_cos month_sin turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.703593,0.350809,0.108668,0.823529,0.560000,,
TOC,catboost,drop:turb_3day,9,Specific_Cond_Mean month_cos month_sin turb_flow precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.733575,0.332594,0.111234,0.823529,0.682927,,
TOC,catboost,drop:precip_7day,9,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.527177,0.443075,0.108915,0.735294,0.862069,,
TOC,catboost,drop:swe_7day,9,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day precip_7day turb/cond Turbidity_Median Turbidity_Max,856,0.653240,0.379439,0.117958,0.823529,0.595745,,
TOC,catboost,drop:turb/cond,9,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day precip_7day swe_7day Turbidity_Median Turbidity_Max,856,0.713861,0.344680,0.110578,0.764706,0.684211,,
TOC,catboost,drop:Turbidity_Median,9,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Max,856,0.724972,0.337922,0.105893,0.823529,0.682927,,
TOC,catboost,drop:Turbidity_Max,9,Specific_Cond_Mean month_cos month_sin turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median,856,0.688395,0.359691,0.113068,0.794118,0.675000,,
TOC,catboost,top3_catboost,3,turb_flow Specific_Cond_Mean swe_7day,856,0.467832,0.470058,0.137595,0.735294,0.862069,,
TOC,catboost,loading_plus_season,3,turb_flow month_sin month_cos,856,0.536483,0.438692,0.135827,0.735294,0.641026,,
TOC,catboost,no_season,8,Specific_Cond_Mean turb_flow turb_3day precip_7day swe_7day turb/cond Turbidity_Median Turbidity_Max,856,0.715295,0.343815,0.120304,0.823529,0.666667,,
TOC,catboost,no_turbidity_family,5,Specific_Cond_Mean month_cos month_sin precip_7day swe_7day,856,0.463763,0.471852,0.125104,0.794118,0.613636,,
