water_year,peak_swe,peak_day_of_water_year,april1_swe,days_peak_to_meltout,days_with_data,flow_max,flow_max_day_of_water_year,flow_mean
1900,,,,,,3100.0000,223,743.6623
1901,,,,,,1100.0000,244,360.7131
1902,,,,,,593.0000,190,118.5288
1903,,,,,,1680.0000,259,196.5562
1904,,,,,,1310.0000,297,264.1175
1905,,,,,,2130.0000,250,381.7041
1906,,,,,,1230.0000,237,347.7452
1907,,,,,,2170.0000,301,500.7479
1908,,,,,,740.0000,310,189.7650
1909,,,,,,2900.0000,349,494.3425
1910,,,,,,1040.0000,0,366.6548
1911,,,,,,1200.0000,280,266.1863
1912,,,,,,2020.0000,273,403.6913
1913,,,,,,1450.0000,261,376.8849
1914,,,,,,3140.0000,244,898.8192
1915,,,,,,1450.0000,247,475.1397
1916,,,,,,1080.0000,258,344.8907
1917,,,,,,1920.0000,262,440.1863
1918,,,,,,2650.0000,266,411.8329
1919,,,,,,1640.0000,241,500.9589
1920,,,,,,1360.0000,301,429.7842
1921,,,,,,6140.0000,249,776.3068
1922,,,,,,1340.0000,241,399.7753
1923,,,,,,1550.0000,324,443.1425
1924,,,,,,2200.0000,249,534.7350
1925,,,,,,676.0000,254,266.8027
1926,,,,,,2310.0000,250,471.6548
1927,,,,,,1120.0000,273,303.9260
1928,,,,,,1880.0000,242,337.5328
1929,,,,,,2220.0000,312,338.0932
1930,,,,,,2010.0000,317,416.2438
1931,,,,,,1280.0000,273,322.6904
1932,,,,,,940.0000,288,262.3661
1933,,,,,,1850.0000,233,377.4110
1934,,,,,,743.0000,241,218.0301
1935,,,,,,1460.0000,304,257.8959
1936,,,,,,1750.0000,268,403.0656
1937,,,,,,955.0000,271,248.4055
1938,,,,,,1550.0000,241,395.8000
1939,,,,,,1080.0000,238,321.3836
1940,,,,,,660.0000,268,172.1202
1941,,,,,,1520.0000,248,345.9644
1942,,,,,,4770.0000,204,839.9726
1943,,,,,,732.0000,272,268.2849
1944,,,,,,1580.0000,243,315.6421
1945,,,,,,2120.0000,312,342.3370
1946,,,,,,867.0000,288,268.4110
1947,,,,,,2410.0000,266,460.0301
1948,,,,,,2420.0000,205,546.0574
1949,,,,,,4630.0000,256,597.4164
1950,,,,,,725.0000,261,239.2110
1951,,,,,,853.0000,306,267.5945
1952,,,,,,1120.0000,251,294.9290
1953,,,,,,1250.0000,306,271.6082
1954,,,,,,629.0000,286,227.2411
1955,,,,,,968.0000,310,223.9671
1956,,,,,,1140.0000,238,209.3852
1957,,,,,,1500.0000,285,383.2575
1958,,,,,,2060.0000,237,353.2849
1959,,,,,,1100.0000,266,211.8274
1960,,,,,,810.0000,255,261.8798
1961,,,,,,1100.0000,321,267.2356
1962,,,,,,1120.0000,222,381.8603
1963,,,,,,530.0000,234,214.6658
1964,,,,,,963.0000,312,277.2295
1965,,,,,,1260.0000,292,388.3726
1966,,,,,,690.0000,227,263.0329
1967,,,,,,798.0000,334,269.3945
1968,,,,,,1170.0000,304,318.3361
1969,,,,,,3160.0000,261,473.5288
1970,,,,,,4850.0000,210,771.9151
1971,,,,,,1160.0000,296,377.9699
1972,,,,,,1090.0000,249,328.2077
1973,,,,,,3340.0000,224,646.9507
1974,,,,,,885.0000,299,364.1945
1975,,,,,,1540.0000,288,397.9699
1976,,,,,,1090.0000,307,393.9918
1977,,,,,,686.0000,219,328.4877
1978,,,,,,1120.0000,275,345.5589
1979,,,,,,1750.0000,258,423.0932
1980,,,,,,2570.0000,255,635.5383
1981,,,,,,632.0000,308,342.0082
1982,,,,,,1160.0000,303,404.1178
1983,,,,,,2440.0000,271,672.6466
1984,,,,,,3000.0000,329,696.6311
1985,,,,,,1770.0000,252,656.0849
1986,,,,,,1280.0000,279,443.4740
1987,,,,,,2320.0000,236,560.4493
1988,,,,,,1730.0000,275,419.0164
1989,,,,,,1330.0000,302,434.6110
1990,,,,,,1070.0000,272,414.2137
1991,,,,,,912.0000,310,403.7370
1992,,,,,,800.0000,220,415.7486
1993,,,,,,1160.0000,274,454.6630
1994,,,,,,1240.0000,237,411.8849
1995,,,,,,3600.0000,274,727.0904
1996,,,,,,1140.0000,261,452.6393
1997,,,,,,1530.0000,249,495.6986
1998,0.0000,364,,,1,1510.0000,287,544.1178
1999,19.4000,216,9.2000,43,365,2150.0000,260,626.0110
2000,12.4000,207,10.8000,32,366,1140.0000,250,484.9617
2001,13.6000,204,11.6000,38,365,974.0000,267,463.3151
2002,6.8000,177,6.6000,45,365,748.0000,243,399.4603
2003,13.6000,205,11.8000,35,365,750.0000,342,334.0932
2004,9.2000,212,6.6000,23,366,1050.0000,297,329.5109
2005,12.3000,212,10.4000,26,365,1010.0000,242,400.5507
2006,15.6000,188,15.3000,50,365,1110.0000,282,420.2000
2007,15.1000,205,11.9000,41,365,1850.0000,233,680.7671
2008,14.8000,201,13.1000,51,366,1280.0000,277,491.9016
2009,12.6000,199,10.1000,40,365,1560.0000,245,444.0603
2010,10.4000,214,8.5000,29,365,1270.0000,256,422.8493
2011,16.1000,207,14.3000,49,365,1350.0000,279,440.8795
2012,7.1000,152,5.9000,64,366,780.0000,280,379.6858
2013,13.3000,220,7.4000,27,365,902.0000,350,331.1836
2014,14.8000,195,13.8000,53,365,1390.0000,248,413.3562
2015,11.9000,230,9.1000,22,365,3830.0000,259,732.2411
2016,13.0000,213,10.8000,35,366,1080.0000,257,465.5464
2017,9.8000,185,8.8000,53,365,1060.0000,265,434.0301
2018,9.1000,202,6.3000,26,365,751.0000,350,381.7068
2019,14.6000,193,14.3000,65,365,1540.0000,278,430.3589
2020,13.3000,206,11.7000,34,366,833.0000,310,377.3880
2021,11.4000,204,10.0000,41,365,888.0000,319,379.4192
2022,8.4000,199,7.6000,40,365,970.0000,336,422.2110
2023,9.6000,205,9.1000,34,365,1090.0000,259,409.4411
2024,13.1000,224,12.0000,23,366,1390.0000,264,459.0710
2025,10.0000,186,9.3000,56,364,734.0000,283,390.8630
2026,9.0000,223,0.8000,4,331,620.0000,290,323.1329
