measDate,Flow_CFS
2022-04-01,192.0
2022-04-02,232.0
2022-04-03,237.0
2022-04-04,237.0
2022-04-05,235.0
2022-04-06,231.0
2022-04-07,230.0
2022-04-08,269.0
2022-04-09,276.0
2022-04-10,278.0
2022-04-11,274.0
2022-04-12,270.0
2022-04-13,267.0
2022-04-14,256.0
2022-04-15,263.0
2022-04-16,262.0
2022-04-17,260.0
2022-04-18,276.0
2022-04-19,333.0
2022-04-20,396.0
2022-04-21,404.0
2022-04-22,392.0
2022-04-23,405.0
2022-04-24,413.0
2022-04-25,412.0
2022-04-26,412.0
2022-04-27,424.0
2022-04-28,482.0
2022-04-29,485.0
2022-04-30,523.0
2022-05-01,530.0
2022-05-02,544.0
2022-05-03,533.0
2022-05-04,460.0
2022-05-05,417.0
2022-05-06,419.0
2022-05-07,448.0
2022-05-08,488.0
2022-05-09,493.0
2022-05-10,545.0
2022-05-11,561.0
2022-05-12,579.0
2022-05-13,545.0
2022-05-14,584.0
2022-05-15,606.0
2022-05-16,620.0
2022-05-17,550.0
2022-05-18,552.0
2022-05-19,565.0
2022-05-20,544.0
2022-05-21,441.0
2022-05-22,330.0
2022-05-23,441.0
2022-05-24,579.0
2022-05-25,557.0
2022-05-26,443.0
2022-05-27,585.0
2022-05-28,616.0
2022-05-29,554.0
2022-05-30,421.0
2022-05-31,407.0
2022-06-01,441.0
2022-06-02,508.0
2022-06-03,530.0
2022-06-04,502.0
2022-06-05,506.0
2022-06-06,526.0
2022-06-07,599.0
2022-06-08,588.0
2022-06-09,596.0
2022-06-10,586.0
2022-06-11,587.0
2022-06-12,585.0
2022-06-13,559.0
2022-06-14,545.0
2022-06-15,546.0
2022-06-16,614.0
2022-06-17,666.0
2022-06-18,729.0
2022-06-19,736.0
2022-06-20,715.0
2022-06-21,651.0
2022-06-22,636.0
2022-06-23,619.0
2022-06-24,610.0
2022-06-25,621.0
2022-06-26,669.0
2022-06-27,674.0
2022-06-28,635.0
2022-06-29,694.0
2022-06-30,706.0
2022-07-01,721.0
2022-07-02,707.0
2022-07-03,702.0
2022-07-04,695.0
2022-07-05,679.0
2022-07-06,780.0
2022-07-07,850.0
2022-07-08,812.0
2022-07-09,806.0
2022-07-10,807.0
2022-07-11,822.0
2022-07-12,763.0
2022-07-13,754.0
2022-07-14,745.0
2022-07-15,606.0
2022-07-16,745.0
2022-07-17,789.0
2022-07-18,778.0
2022-07-19,772.0
2022-07-20,775.0
2022-07-21,766.0
2022-07-22,760.0
2022-07-23,763.0
2022-07-24,796.0
2022-07-25,813.0
2022-07-26,642.0
2022-07-27,596.0
2022-07-28,590.0
2022-07-29,569.0
2022-07-30,590.0
2022-07-31,666.0
2022-08-01,702.0
2022-08-02,711.0
2022-08-03,699.0
2022-08-04,705.0
2022-08-05,701.0
2022-08-06,715.0
2022-08-07,705.0
2022-08-08,656.0
2022-08-09,564.0
2022-08-10,591.0
2022-08-11,696.0
2022-08-12,770.0
2022-08-13,731.0
2022-08-14,628.0
2022-08-15,569.0
2022-08-16,631.0
2022-08-17,599.0
2022-08-18,509.0
2022-08-19,486.0
2022-08-20,533.0
2022-08-21,624.0
2022-08-22,675.0
2022-08-23,647.0
2022-08-24,686.0
2022-08-25,757.0
2022-08-26,835.0
2022-08-27,951.0
2022-08-28,928.0
2022-08-29,960.0
2022-08-30,929.0
2022-08-31,915.0
2022-09-01,922.0
2022-09-02,970.0
2022-09-03,965.0
2022-09-04,970.0
2022-09-05,957.0
2022-09-06,937.0
2022-09-07,841.0
2022-09-08,801.0
2022-09-09,712.0
2022-09-10,640.0
2022-09-11,566.0
2022-09-12,555.0
2022-09-13,550.0
2022-09-14,564.0
2022-09-15,612.0
2022-09-16,558.0
2022-09-17,519.0
2022-09-18,514.0
2022-09-19,506.0
2022-09-20,503.0
2022-09-21,509.0
2022-09-22,539.0
2022-09-23,477.0
2022-09-24,462.0
2022-09-25,454.0
2022-09-26,454.0
2022-09-27,497.0
2022-09-28,508.0
2022-09-29,521.0
2022-09-30,536.0
2022-10-01,533.0
2022-10-02,437.0
2022-10-03,440.0
2022-10-04,390.0
2022-10-05,408.0
2022-10-06,404.0
2022-10-07,412.0
2022-10-08,434.0
2022-10-09,432.0
2022-10-10,430.0
2022-10-11,444.0
2022-10-12,495.0
2022-10-13,494.0
2022-10-14,495.0
2022-10-15,492.0
2022-10-16,492.0
2022-10-17,481.0
2022-10-18,431.0
2022-10-19,391.0
2022-10-20,388.0
2022-10-21,384.0
2022-10-22,383.0
2022-10-23,378.0
2022-10-24,362.0
2022-10-25,275.0
2022-10-26,365.0
2022-10-27,402.0
2022-10-28,334.0
2022-10-29,336.0
2022-10-30,338.0
2022-10-31,331.0
2022-11-01,292.0
2022-11-02,291.0
2022-11-03,288.0
2022-11-04,285.0
2022-11-05,283.0
2022-11-06,292.0
2022-11-07,286.0
2022-11-08,289.0
2022-11-09,284.0
2022-11-10,284.0
2022-11-11,267.0
2022-11-12,259.0
2022-11-13,268.0
2022-11-14,271.0
2022-11-15,265.0
2022-11-16,280.0
2022-11-17,287.0
2022-11-18,291.0
2022-11-19,291.0
2022-11-20,293.0
2022-11-21,294.0
2022-11-22,311.0
2022-11-23,313.0
2022-11-24,315.0
2022-11-25,310.0
2022-11-26,311.0
2022-11-27,313.0
2022-11-28,308.0
2022-11-29,272.0
2022-11-30,271.0
2022-12-01,286.0
2022-12-02,268.0
2022-12-03,266.0
2022-12-04,269.0
2022-12-05,269.0
2022-12-06,268.0
2022-12-07,266.0
2022-12-08,265.0
2022-12-09,259.0
2022-12-10,258.0
2022-12-11,262.0
2022-12-12,264.0
2022-12-13,259.0
2022-12-14,222.0
2022-12-15,222.0
2022-12-16,241.0
2022-12-17,245.0
2022-12-18,235.0
2022-12-19,215.0
2022-12-20,185.0
2022-12-21,160.0
2022-12-22,149.0
2022-12-23,175.0
2022-12-24,200.0
2022-12-25,200.0
2022-12-26,200.0
2022-12-27,200.0
2022-12-28,200.0
2022-12-29,200.0
2022-12-30,200.0
2022-12-31,200.0
2023-01-01,200.0
2023-01-02,200.0
2023-01-03,200.0
2023-01-04,200.0
2023-01-05,200.0
2023-01-06,200.0
2023-01-07,200.0
2023-01-08,205.0
2023-01-09,210.0
2023-01-10,214.0
2023-01-11,215.0
2023-01-12,197.0
2023-01-13,211.0
2023-01-14,250.0
2023-01-15,248.0
2023-01-16,250.0
2023-01-17,242.0
2023-01-18,215.0
2023-01-19,205.0
2023-01-20,200.0
2023-01-21,200.0
2023-01-22,200.0
2023-01-23,200.0
2023-01-24,197.0
2023-01-25,195.0
2023-01-26,205.0
2023-01-27,235.0
2023-01-28,225.0
2023-01-29,225.0
2023-01-30,225.0
2023-01-31,215.0
2023-02-01,195.0
2023-02-02,195.0
2023-02-03,195.0
2023-02-04,195.0
2023-02-05,194.0
2023-02-06,194.0
2023-02-07,187.0
2023-02-08,179.0
2023-02-09,180.0
2023-02-10,166.0
2023-02-11,167.0
2023-02-12,171.0
2023-02-13,170.0
2023-02-14,172.0
2023-02-15,170.0
2023-02-16,170.0
2023-02-17,170.0
2023-02-18,185.0
2023-02-19,205.0
2023-02-20,207.0
2023-02-21,212.0
2023-02-22,205.0
2023-02-23,205.0
2023-02-24,215.0
2023-02-25,249.0
2023-02-26,255.0
2023-02-27,248.0
2023-02-28,209.0
2023-03-01,203.0
2023-03-02,205.0
2023-03-03,206.0
2023-03-04,204.0
2023-03-05,207.0
2023-03-06,207.0
2023-03-07,207.0
2023-03-08,206.0
2023-03-09,218.0
2023-03-10,283.0
2023-03-11,291.0
2023-03-12,289.0
2023-03-13,284.0
2023-03-14,283.0
2023-03-15,287.0
2023-03-16,287.0
2023-03-17,231.0
2023-03-18,222.0
2023-03-19,223.0
2023-03-20,232.0
2023-03-21,229.0
2023-03-22,228.0
2023-03-23,234.0
2023-03-24,266.0
2023-03-25,290.0
2023-03-26,284.0
2023-03-27,294.0
2023-03-28,284.0
2023-03-29,288.0
2023-03-30,263.0
2023-03-31,260.0
2023-04-01,241.0
2023-04-02,244.0
2023-04-03,252.0
2023-04-04,255.0
2023-04-05,241.0
2023-04-06,238.0
2023-04-07,221.0
2023-04-08,225.0
2023-04-09,223.0
2023-04-10,228.0
2023-04-11,240.0
2023-04-12,317.0
2023-04-13,338.0
2023-04-14,336.0
2023-04-15,274.0
2023-04-16,255.0
2023-04-17,256.0
2023-04-18,262.0
2023-04-19,269.0
2023-04-20,254.0
2023-04-21,240.0
2023-04-22,265.0
2023-04-23,256.0
2023-04-24,264.0
2023-04-25,273.0
2023-04-26,304.0
2023-04-27,313.0
2023-04-28,328.0
2023-04-29,322.0
2023-04-30,331.0
2023-05-01,337.0
2023-05-02,327.0
2023-05-03,344.0
2023-05-04,361.0
2023-05-05,352.0
2023-05-06,342.0
2023-05-07,337.0
2023-05-08,330.0
2023-05-09,332.0
2023-05-10,384.0
2023-05-11,550.0
2023-05-12,826.0
2023-05-13,709.0
2023-05-14,667.0
2023-05-15,707.0
2023-05-16,740.0
2023-05-17,693.0
2023-05-18,634.0
2023-05-19,706.0
2023-05-20,641.0
2023-05-21,664.0
2023-05-22,672.0
2023-05-23,840.0
2023-05-24,839.0
2023-05-25,900.0
2023-05-26,870.0
2023-05-27,833.0
2023-05-28,807.0
2023-05-29,769.0
2023-05-30,750.0
2023-05-31,681.0
2023-06-01,640.0
2023-06-02,583.0
2023-06-03,534.0
2023-06-04,533.0
2023-06-05,538.0
2023-06-06,563.0
2023-06-07,564.0
2023-06-08,607.0
2023-06-09,665.0
2023-06-10,654.0
2023-06-11,710.0
