test_year,model,n_outside_minmax,days,mae
2023,catboost,0,104,4.533242
2023,catboost,1,34,3.786971
2023,catboost,2,26,4.021478
2023,catboost,3,17,2.987977
2023,catboost,4,5,1.310811
2023,rf_grid,0,104,5.914209
2023,rf_grid,1,34,4.936489
2023,rf_grid,2,26,6.268728
2023,rf_grid,3,17,6.668335
2023,rf_grid,4,5,0.834176
2024,catboost,0,97,5.398127
2024,catboost,1,15,3.849155
2024,rf_grid,0,97,4.607348
2024,rf_grid,1,15,1.863668
2025,catboost,0,211,4.253518
2025,rf_grid,0,211,4.280518
2026,catboost,0,129,4.341224
2026,rf_grid,0,129,4.461089
