date,test_year,model,n_outside_minmax,n_outside_quantiles,Specific_Cond_Mean_outside,pH_Median_outside,month_sin_outside,month_cos_outside,flow_7day_avg_outside,turb_3day_outside,turb_flow_outside,Dissolved_Oxygen_Mean_outside,actual,pred,abs_error
2023-04-07,2023,rf_grid,0,3,False,False,False,False,False,False,False,False,75.000000,75.796054,0.796054
2023-04-08,2023,rf_grid,1,3,False,False,False,False,False,False,False,True,75.500000,75.819993,0.319993
2023-04-09,2023,rf_grid,1,3,False,False,False,False,False,False,False,True,74.500000,75.796054,1.296054
2023-04-10,2023,rf_grid,1,3,False,False,False,False,False,False,False,True,74.500000,75.796054,1.296054
2023-04-11,2023,rf_grid,1,3,False,False,False,False,False,False,False,True,70.500000,75.796054,5.296054
2023-04-12,2023,rf_grid,1,3,False,False,False,False,False,False,False,True,69.100000,75.796054,6.696054
2023-04-18,2023,rf_grid,0,1,False,False,False,False,False,False,False,False,64.500000,66.293230,1.793230
2023-04-19,2023,rf_grid,1,1,False,False,False,False,False,False,False,True,62.500000,66.591350,4.091350
2023-04-20,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,63.000000,68.212485,5.212485
2023-04-21,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,61.500000,68.140004,6.640004
2023-04-22,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,59.500000,68.140004,8.640004
2023-04-23,2023,rf_grid,0,1,False,False,False,False,False,False,False,False,59.500000,68.140004,8.640004
2023-05-01,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,56.500000,62.020772,5.520772
2023-05-02,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,53.000000,61.774492,8.774492
2023-05-03,2023,rf_grid,0,1,False,False,False,False,False,False,False,False,55.500000,61.952742,6.452742
2023-05-04,2023,rf_grid,0,1,False,False,False,False,False,False,False,False,55.500000,61.394478,5.894478
2023-05-05,2023,rf_grid,0,0,False,False,False,False,False,False,False,False,53.500000,61.388145,7.888145
2023-05-06,2023,rf_grid,0,0,False,False,False,False,False,False,False,False,53.000000,60.467938,7.467938
2023-05-15,2023,rf_grid,1,3,False,False,False,False,False,True,False,False,47.500000,52.257011,4.757011
2023-05-16,2023,rf_grid,2,2,False,False,False,False,False,True,True,False,45.000000,49.941223,4.941223
2023-05-17,2023,rf_grid,2,2,False,False,False,False,False,True,True,False,44.500000,41.034952,3.465048
2023-05-18,2023,rf_grid,2,2,False,False,False,False,False,True,True,False,44.000000,40.502013,3.497987
2023-05-19,2023,rf_grid,2,2,False,False,False,False,False,True,True,False,43.500000,40.562898,2.937102
2023-05-20,2023,rf_grid,2,2,False,False,False,False,False,True,True,False,40.500000,40.762152,0.262152
2023-05-21,2023,rf_grid,2,3,False,False,False,False,False,True,True,False,39.300000,40.585062,1.285062
2023-05-22,2023,rf_grid,4,4,True,True,False,False,False,True,True,False,39.500000,40.798012,1.298012
2023-05-23,2023,rf_grid,4,4,True,True,False,False,False,True,True,False,39.250000,40.217308,0.967308
2023-05-24,2023,rf_grid,4,4,True,True,False,False,False,True,True,False,39.700000,40.005558,0.305558
2023-05-25,2023,rf_grid,4,4,True,True,False,False,False,True,True,False,39.000000,40.373312,1.373312
2023-05-26,2023,rf_grid,4,4,True,True,False,False,False,True,True,False,40.600000,40.373312,0.226688
2023-05-27,2023,rf_grid,2,2,False,False,False,False,False,True,True,False,42.500000,41.726833,0.773167
2023-05-28,2023,rf_grid,2,2,False,False,False,False,False,True,True,False,43.500000,41.935743,1.564257
2023-05-29,2023,rf_grid,2,2,False,False,False,False,False,True,True,False,46.000000,42.203060,3.796940
2023-05-30,2023,rf_grid,2,2,False,False,False,False,False,True,True,False,47.500000,45.522650,1.977350
2023-05-31,2023,rf_grid,2,2,False,False,False,False,False,True,True,False,51.700000,45.612449,6.087551
2023-06-01,2023,rf_grid,1,2,False,False,False,False,False,False,True,False,52.800000,43.599281,9.200719
2023-06-02,2023,rf_grid,1,2,False,False,False,False,False,False,True,False,53.000000,44.003481,8.996519
2023-06-03,2023,rf_grid,1,1,False,False,False,False,False,False,True,False,51.500000,43.891606,7.608394
2023-06-04,2023,rf_grid,0,1,False,False,False,False,False,False,False,False,51.500000,42.304570,9.195430
2023-06-05,2023,rf_grid,0,1,False,False,False,False,False,False,False,False,51.000000,41.934437,9.065563
2023-06-06,2023,rf_grid,0,0,False,False,False,False,False,False,False,False,48.000000,41.865239,6.134761
2023-06-07,2023,rf_grid,0,0,False,False,False,False,False,False,False,False,46.500000,37.195123,9.304877
2023-06-08,2023,rf_grid,0,0,False,False,False,False,False,False,False,False,48.500000,36.948689,11.551311
2023-06-09,2023,rf_grid,0,1,False,False,False,False,False,False,False,False,49.800000,36.590090,13.209910
