test_year,feature,days_outside,test_days
2023,Specific_Cond_Mean,6,186
2023,pH_Median,6,186
2023,month_sin,0,186
2023,month_cos,25,186
2023,flow_7day_avg,24,186
2023,turb_3day,25,186
2023,turb_flow,36,186
2023,Dissolved_Oxygen_Mean,35,186
2024,Specific_Cond_Mean,0,112
2024,pH_Median,14,112
2024,month_sin,0,112
2024,month_cos,0,112
2024,flow_7day_avg,1,112
2024,turb_3day,0,112
2024,turb_flow,0,112
2024,Dissolved_Oxygen_Mean,0,112
2025,Specific_Cond_Mean,0,211
2025,pH_Median,0,211
2025,month_sin,0,211
2025,month_cos,0,211
2025,flow_7day_avg,0,211
2025,turb_3day,0,211
2025,turb_flow,0,211
2025,Dissolved_Oxygen_Mean,0,211
2026,Specific_Cond_Mean,0,133
2026,pH_Median,0,133
2026,month_sin,0,133
2026,month_cos,0,133
2026,flow_7day_avg,0,133
2026,turb_3day,0,133
2026,turb_flow,0,133
2026,Dissolved_Oxygen_Mean,0,133
