test_year,model,n_outside_minmax,days,mae
2023,catboost,0,107,0.526543
2023,catboost,1,56,0.577391
2023,catboost,2,6,1.500455
2023,catboost,3,4,1.791237
2023,catboost,4,8,2.271457
2023,catboost,5,5,3.960060
2023,catboost,6,5,4.068003
2023,rf_grid,0,107,0.532326
2023,rf_grid,1,56,0.772300
2023,rf_grid,2,6,1.521234
2023,rf_grid,3,4,1.813852
2023,rf_grid,4,8,2.265643
2023,rf_grid,5,5,3.920647
2023,rf_grid,6,5,4.024638
2024,catboost,0,73,0.328728
2024,catboost,1,53,0.515341
2024,rf_grid,0,73,0.411726
2024,rf_grid,1,53,0.655387
2025,catboost,0,204,0.274058
2025,rf_grid,0,204,0.293061
2026,catboost,0,135,0.194255
2026,rf_grid,0,135,0.231303
