date,test_year,model,n_outside_minmax,n_outside_quantiles,Specific_Cond_Mean_outside,month_cos_outside,month_sin_outside,turb_flow_outside,turb_3day_outside,precip_7day_outside,swe_7day_outside,turb/cond_outside,Turbidity_Median_outside,Turbidity_Max_outside,actual,pred,abs_error
2023-04-05,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,False,False,2.200000,2.845628,0.645628
2023-04-06,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,False,False,2.200000,2.854986,0.654986
2023-04-07,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,False,False,2.200000,2.844852,0.644852
2023-04-08,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,False,False,2.300000,2.845021,0.545021
2023-04-09,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,False,False,2.200000,2.807643,0.607643
2023-04-10,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,False,False,2.200000,2.807643,0.607643
2023-04-16,2023,rf_grid,0,0,False,False,False,False,False,False,False,False,False,False,2.300000,2.868195,0.568195
2023-04-17,2023,rf_grid,0,0,False,False,False,False,False,False,False,False,False,False,2.300000,2.874990,0.574990
2023-04-18,2023,rf_grid,0,0,False,False,False,False,False,False,False,False,False,False,2.200000,2.898516,0.698516
2023-04-19,2023,rf_grid,0,1,False,False,False,False,False,False,False,False,False,False,2.300000,2.833835,0.533835
2023-04-20,2023,rf_grid,0,0,False,False,False,False,False,False,False,False,False,False,2.300000,2.833364,0.533364
2023-04-21,2023,rf_grid,0,0,False,False,False,False,False,False,False,False,False,False,2.200000,2.832734,0.632734
2023-04-29,2023,rf_grid,0,1,False,False,False,False,False,False,False,False,False,False,2.000000,2.836386,0.836386
2023-04-30,2023,rf_grid,0,2,False,False,False,False,False,False,False,False,False,False,2.000000,2.887228,0.887228
2023-05-01,2023,rf_grid,1,2,False,False,False,False,False,True,False,False,False,False,2.000000,2.395522,0.395522
2023-05-02,2023,rf_grid,1,3,False,False,False,False,False,True,False,False,False,False,2.000000,2.403347,0.403347
2023-05-03,2023,rf_grid,1,2,False,False,False,False,False,True,False,False,False,False,2.000000,2.405478,0.405478
2023-05-04,2023,rf_grid,1,2,False,False,False,False,False,True,False,False,False,False,2.200000,2.401541,0.201541
2023-05-13,2023,rf_grid,3,5,False,False,False,False,True,False,False,True,True,False,2.600000,2.560168,0.039832
