label,model,test_year,train_rows,test_rows,excursion_days,r2,rmse,mape,excursion_recall,excursion_precision
jake_full,rf_grid,2023,198,191,65,0.023685,1.255692,0.206409,0.523077,0.871795
jake_full,rf_grid,2024,389,126,60,0.457092,0.652943,0.133731,0.633333,0.926829
jake_full,rf_grid,2025,515,210,3,-0.074174,0.288255,0.100550,1.000000,0.176471
jake_full,rf_grid,2026,725,131,0,-0.832611,0.211292,0.077026,,
jake_full,catboost,2023,198,191,65,-0.015032,1.280349,0.193796,0.292308,1.000000
jake_full,catboost,2024,389,126,60,0.662751,0.514621,0.095130,0.900000,0.981818
jake_full,catboost,2025,515,210,3,-0.099717,0.291662,0.103146,1.000000,0.187500
jake_full,catboost,2026,725,131,0,-0.671074,0.201765,0.074117,,
drop:swe_7day,rf_grid,2023,198,191,65,0.035597,1.248009,0.198022,0.553846,1.000000
drop:swe_7day,rf_grid,2024,389,126,60,0.634891,0.535456,0.120140,0.616667,0.902439
drop:swe_7day,rf_grid,2025,515,210,3,-0.208504,0.305748,0.108284,1.000000,0.157895
drop:swe_7day,rf_grid,2026,725,131,0,-2.712124,0.300718,0.119677,,
drop:swe_7day,catboost,2023,198,191,65,0.006858,1.266467,0.187517,0.415385,1.000000
drop:swe_7day,catboost,2024,389,126,60,0.669081,0.509769,0.099656,0.816667,0.980000
drop:swe_7day,catboost,2025,515,210,3,-0.244670,0.310289,0.108767,1.000000,0.157895
drop:swe_7day,catboost,2026,725,131,0,-2.692620,0.299927,0.118206,,
